DATA_GBN,LAST_CRAWL_DTTM,ASIN,FIRST_DTTM,URL
DELETE,2024-10-31,B09S58MS4J,2022-02-09,https://www.amazon.com/dp/B09S58MS4J/
DELETE,2024-02-17,B0CLQWSV45,2023-10-24,https://www.amazon.com/dp/B0CLQWSV45/
DELETE,2024-10-31,B084BP68P2,2020-01-29,https://www.amazon.com/dp/B084BP68P2/
DELETE,2024-03-02,B0CVFQ2T7M,2024-02-11,https://www.amazon.com/dp/B0CVFQ2T7M/
DELETE,2024-05-30,B06XCY471J,2016-07-29,https://www.amazon.com/dp/B06XCY471J/
DELETE,2024-04-25,B09VNXCQ78,2022-03-16,https://www.amazon.com/dp/B09VNXCQ78/
DELETE,2024-04-25,B0BFDLJR7Q,2022-09-15,https://www.amazon.com/dp/B0BFDLJR7Q/
DELETE,2024-06-20,B09J8SHRVG,2021-11-04,https://www.amazon.com/dp/B09J8SHRVG/
DELETE,2024-03-22,B0CT3YT4JJ,2024-01-23,https://www.amazon.com/dp/B0CT3YT4JJ/
DELETE,2024-03-23,B0B7ZVFQLV,2022-07-28,https://www.amazon.com/dp/B0B7ZVFQLV/
NORMAL,2024-11-05,B01N7QDO7M,2017-01-07,https://www.amazon.com/dp/B01N7QDO7M/
BEST,2024-07-23,B08V8L37HX,2021-02-01,https://www.amazon.com/dp/B08V8L37HX/
BEST,2024-07-23,B0BRQCJ283,2023-01-05,https://www.amazon.com/dp/B0BRQCJ283/
NORMAL,2024-11-06,B0C3R9BSFS,2023-06-23,https://www.amazon.com/dp/B0C3R9BSFS/
NORMAL,2024-11-06,B01L54OZ0K,2016-08-31,https://www.amazon.com/dp/B01L54OZ0K/
NORMAL,2024-11-06,B0713WPGLL,,https://www.amazon.com/dp/B0713WPGLL/
DELETE,2024-06-27,B08DPW1YDJ,2020-07-27,https://www.amazon.com/dp/B08DPW1YDJ/
DELETE,2024-02-07,B07XJVFVSJ,,https://www.amazon.com/dp/B07XJVFVSJ/
DELETE,2024-02-07,B0C2DDDJSN,2023-04-14,https://www.amazon.com/dp/B0C2DDDJSN/
DELETE,2024-10-17,B09JZYRRQ2,2022-01-11,https://www.amazon.com/dp/B09JZYRRQ2/
DELETE,2024-08-08,B0CKZD9Q9L,2023-10-13,https://www.amazon.com/dp/B0CKZD9Q9L/
DELETE,2024-07-18,B07K4TCKVL,2018-11-02,https://www.amazon.com/dp/B07K4TCKVL/
DELETE,2024-02-29,B07TLZVBNC,2019-06-28,https://www.amazon.com/dp/B07TLZVBNC/
DELETE,2024-03-21,B001OQC0KC,2009-01-05,https://www.amazon.com/dp/B001OQC0KC/
DELETE,2024-10-24,B00008ZO75,2011-09-02,https://www.amazon.com/dp/B00008ZO75/
DELETE,2024-10-24,B08YFMD84P,2021-04-19,https://www.amazon.com/dp/B08YFMD84P/
DELETE,2024-02-09,B00UVN2C2A,2015-03-10,https://www.amazon.com/dp/B00UVN2C2A/
DELETE,2024-02-09,B097TQMSD9,,https://www.amazon.com/dp/B097TQMSD9/
DELETE,2024-03-28,B0CCC1DD34,2023-10-10,https://www.amazon.com/dp/B0CCC1DD34/
DELETE,2024-02-10,B07SXBRRMW,2019-06-11,https://www.amazon.com/dp/B07SXBRRMW/
DELETE,2024-04-04,B0CLHGCW7P,2023-10-20,https://www.amazon.com/dp/B0CLHGCW7P/
DELETE,2024-03-09,B07FNZHWH2,2018-08-10,https://www.amazon.com/dp/B07FNZHWH2/
DELETE,2024-10-31,B09TF2JM1S,2022-02-25,https://www.amazon.com/dp/B09TF2JM1S/
NORMAL,2024-11-05,B07CVCZFWF,,https://www.amazon.com/dp/B07CVCZFWF/
NORMAL,2024-11-06,B07X41PWTY,2019-09-11,https://www.amazon.com/dp/B07X41PWTY/
DELETE,2024-10-31,B08DP7MR4H,2020-07-27,https://www.amazon.com/dp/B08DP7MR4H/
DELETE,2024-02-16,B0CT8N1W8B,,https://www.amazon.com/dp/B0CT8N1W8B/
DELETE,2024-07-11,B09YXXXZ6X,2022-04-27,https://www.amazon.com/dp/B09YXXXZ6X/
DELETE,2024-10-24,B01MQTIMCE,2015-02-24,https://www.amazon.com/dp/B01MQTIMCE/
DELETE,2024-02-10,B0BBFWL68X,2022-08-22,https://www.amazon.com/dp/B0BBFWL68X/
DELETE,2024-05-23,B0B1DTW4K6,,https://www.amazon.com/dp/B0B1DTW4K6/
DELETE,2024-10-10,B016YK7R1O,2015-10-21,https://www.amazon.com/dp/B016YK7R1O/
DELETE,2024-02-10,B07T7ZSKT2,2019-06-18,https://www.amazon.com/dp/B07T7ZSKT2/
DELETE,2024-10-10,B0033ZJADW,2014-07-08,https://www.amazon.com/dp/B0033ZJADW/
DELETE,2024-02-09,B07CGGNH6Y,2018-04-01,https://www.amazon.com/dp/B07CGGNH6Y/
DELETE,2024-02-09,B097RG99L4,2021-06-29,https://www.amazon.com/dp/B097RG99L4/
DELETE,2024-02-09,B08YFKTP6L,2021-04-01,https://www.amazon.com/dp/B08YFKTP6L/
DELETE,2024-02-09,B0CFXK5DYH,2023-08-17,https://www.amazon.com/dp/B0CFXK5DYH/
DELETE,2024-02-10,B09VG3GN47,,https://www.amazon.com/dp/B09VG3GN47/
DELETE,2024-10-31,9876151606,,https://www.amazon.com/dp/9876151606/
